VICTIM_AGE,VICTIM_GENDER,INCIDENT_AREA
22,M,Hollenbeck
37,M,Northeast
34,F,Newton
30,F,Southeast
0,,Southwest
60,M,Southwest
0,X,Van Nuys
25,M,Central
24,M,77th Street
44,F,West Valley
0,,Harbor
60,M,Hollenbeck
53,M,Hollywood
39,M,Devonshire
29,M,Northeast
74,M,Wilshire
44,F,Southeast
39,M,Northeast
0,X,Devonshire
32,M,Mission
40,M,Olympic
0,M,Newton
31,F,Wilshire
59,M,Newton
33,M,77th Street
30,F,Foothill
0,,Olympic
21,F,West LA
47,F,77th Street
29,M,77th Street
19,X,Southwest
19,M,Topanga
48,F,Foothill
19,F,Central
0,,Hollywood
16,M,Mission
25,F,Hollenbeck
35,F,77th Street
0,,Hollenbeck
42,F,77th Street
23,M,Hollywood
23,F,Southeast
20,F,77th Street
48,M,Central
0,M,West Valley
35,F,77th Street
54,F,Southeast
19,X,77th Street
0,X,Harbor
21,F,Newton
38,M,Van Nuys
32,F,Devonshire
28,F,Wilshire
26,F,Southwest
30,F,Topanga
25,F,N Hollywood
58,M,Wilshire
27,F,Hollywood
20,M,Southwest
51,M,Hollywood
35,M,West Valley
0,M,Harbor
36,M,Central
43,M,Hollywood
29,F,77th Street
31,F,Northeast
0,X,Southeast
44,F,Hollenbeck
0,X,Hollywood
0,,Southeast
0,,Newton
15,F,Newton
0,M,Wilshire
62,F,Devonshire
0,X,Devonshire
0,,77th Street
55,F,77th Street
24,M,Northeast
16,F,Van Nuys
0,,Wilshire
27,M,77th Street
0,,Newton
35,F,Mission
0,M,West Valley
53,M,Northeast
36,M,Foothill
31,M,Central
67,M,Harbor
0,,Van Nuys
51,F,Central
0,X,Central
31,M,Pacific
37,F,77th Street
0,,Mission
17,F,Southwest
0,,Wilshire
49,F,Mission
0,,N Hollywood
54,F,Van Nuys
65,F,Northeast
31,M,Harbor
29,M,Harbor
53,F,Southwest
34,F,Mission
48,M,Northeast
17,M,Foothill
62,M,Southeast
33,M,Wilshire
19,M,77th Street
20,M,Southeast
30,M,Rampart
32,F,N Hollywood
63,M,Foothill
45,F,Northeast
46,M,N Hollywood
0,,Newton
43,M,Northeast
41,F,77th Street
54,M,Foothill
0,X,Pacific
58,M,Devonshire
32,M,West LA
0,X,Northeast
0,,Pacific
52,M,Central
46,M,Southeast
28,M,Mission
50,F,Mission
22,F,Hollywood
32,M,Olympic
31,F,Northeast
22,M,Mission
0,X,Harbor
23,M,Northeast
27,F,Mission
41,M,West Valley
46,F,N Hollywood
45,M,Harbor
51,F,Hollenbeck
29,M,Van Nuys
0,X,Southwest
32,F,Northeast
39,F,Southwest
47,M,Olympic
31,F,Central
67,M,Pacific
26,M,Central
93,F,West LA
0,,Wilshire
57,M,Foothill
0,X,Pacific
29,F,West LA
46,M,Southeast
0,X,Rampart
66,M,Topanga
61,F,West LA
27,F,Topanga
0,,Newton
11,M,Pacific
34,M,Rampart
0,X,Rampart
16,F,Foothill
0,,Southeast
0,M,Hollenbeck
16,F,Rampart
49,F,N Hollywood
32,M,Pacific
65,M,Olympic
51,M,West Valley
48,M,Van Nuys
0,,Olympic
0,,Newton
27,M,Hollenbeck
65,M,Newton
71,F,Rampart
0,X,Northeast
43,F,Devonshire
24,F,Topanga
19,F,Hollenbeck
61,M,West LA
22,M,Van Nuys
46,M,Hollenbeck
29,F,Central
25,M,West LA
0,X,Olympic
54,M,Northeast
0,,Van Nuys
0,,Southwest
26,F,77th Street
23,M,West Valley
76,F,Southwest
37,F,N Hollywood
18,M,77th Street
0,,Mission
64,F,West LA
70,M,Topanga
47,M,Topanga
40,F,Southwest
0,X,Northeast
0,X,77th Street
38,F,Van Nuys
46,M,West Valley
0,X,Southeast
32,M,Van Nuys
34,F,Northeast
0,X,Central
19,M,Newton
56,M,Southeast
0,,Harbor
27,F,Olympic
24,M,Central
0,,Southeast
0,,Southeast
34,M,N Hollywood
28,M,West LA
0,M,Newton
0,,Foothill
51,M,77th Street
54,M,Olympic
40,F,77th Street
44,M,Topanga
0,X,Central
0,M,West Valley
34,M,Foothill
22,M,Wilshire
0,M,Central
0,M,Newton
33,M,Southwest
24,F,Wilshire
50,M,Topanga
0,,Rampart
0,,Northeast
39,M,West Valley
51,M,Van Nuys
28,F,Wilshire
33,M,Harbor
21,M,Hollywood
25,M,N Hollywood
54,F,Mission
19,X,Southwest
66,F,Hollywood
30,F,Mission
6,M,West Valley
25,F,Rampart
68,F,Devonshire
42,M,Hollywood
20,M,Pacific
0,M,Newton
60,F,Southwest
0,X,Newton
36,M,Hollywood
0,,Pacific
30,F,77th Street
72,M,Rampart
0,X,Hollenbeck
0,X,Southeast
35,M,Rampart
25,F,Wilshire
77,F,Northeast
0,,Wilshire
49,M,Central
56,M,Central
17,F,77th Street
42,M,Topanga
0,,West LA
49,M,N Hollywood
31,M,Rampart
0,,Southwest
0,,Central
63,F,Topanga
0,M,West Valley
22,F,77th Street
0,M,Rampart
28,M,Hollywood
47,M,Mission
30,M,Topanga
31,M,Foothill
36,F,Mission
0,M,Pacific
60,M,Central
39,M,Wilshire
0,,77th Street
36,M,Devonshire
25,F,Rampart
23,F,77th Street
49,F,Olympic
0,,Van Nuys
41,M,Harbor
0,,Southwest
31,M,77th Street
19,X,Rampart
21,F,Central
76,F,Olympic
38,F,West Valley
42,F,Harbor
30,M,West Valley
32,M,77th Street
67,F,West LA
17,F,Northeast
23,M,Olympic
31,F,Wilshire
0,,Foothill
0,M,N Hollywood
27,F,Harbor
22,M,77th Street
0,,Harbor
0,,Topanga
35,M,Topanga
18,M,Rampart
37,M,Northeast
9,M,Mission
48,F,Southwest
25,M,Wilshire
0,,Northeast
0,X,Devonshire
0,X,Wilshire
37,M,Rampart
45,M,Van Nuys
34,F,Devonshire
41,M,N Hollywood
37,F,Southwest
42,F,Northeast
30,F,Newton
23,M,Southwest
14,F,Harbor
0,,Southwest
13,M,Mission
56,M,Foothill
36,F,Foothill
44,M,Pacific
23,F,Mission
28,M,Northeast
44,M,Southeast
19,F,Newton
61,M,West Valley
0,,West LA
34,M,Northeast
37,F,Southeast
0,X,Hollywood
46,M,Rampart
46,M,Van Nuys
24,M,Central
19,X,Southwest
31,M,Hollywood
39,M,Newton
57,M,N Hollywood
0,X,Pacific
0,,Hollenbeck
25,M,Foothill
0,,Southwest
21,M,Central
0,X,Pacific
0,X,Hollywood
18,M,77th Street
34,M,Northeast
0,,Northeast
66,M,Southeast
34,M,Olympic
35,F,Olympic
37,F,77th Street
34,M,Topanga
0,,Foothill
27,M,Topanga
55,F,Topanga
29,F,West Valley
31,F,77th Street
41,M,Southeast
0,,N Hollywood
36,F,West Valley
0,,Olympic
0,,Southeast
24,F,N Hollywood
45,M,77th Street
45,M,Southeast
40,F,Wilshire
41,M,Newton
34,F,Olympic
77,M,West Valley
0,M,West Valley
27,M,West LA
65,M,Devonshire
56,F,Van Nuys
0,X,Pacific
24,M,Pacific
42,F,Van Nuys
28,M,Mission
0,,Hollenbeck
40,M,77th Street
0,X,Northeast
32,M,Wilshire
0,F,Central
13,F,Harbor
0,,77th Street
0,,West LA
22,F,Olympic
0,,Newton
20,M,Newton
0,,Rampart
74,M,Southeast
68,F,Hollenbeck
46,M,Newton
27,F,Mission
29,M,Olympic
19,X,Southwest
34,F,Newton
0,,Van Nuys
29,M,Foothill
40,F,Hollenbeck
82,F,Wilshire
32,M,West LA
39,F,West LA
37,F,Southeast
29,M,Wilshire
55,M,West Valley
50,M,West LA
34,M,Topanga
0,M,N Hollywood
0,,Foothill
30,M,Northeast
46,M,Foothill
42,M,Van Nuys
38,F,Foothill
63,M,Southeast
30,F,Southeast
26,M,Central
35,F,Southeast
0,X,77th Street
33,M,Van Nuys
32,F,Northeast
38,F,77th Street
36,M,77th Street
24,M,West LA
60,M,Northeast
46,F,Topanga
0,X,Pacific
33,F,Hollenbeck
0,,Mission
31,M,Wilshire
0,,Pacific
45,M,Mission
37,M,Wilshire
40,M,Southeast
33,M,Olympic
44,M,Olympic
15,F,Central
0,M,N Hollywood
56,F,Pacific
31,M,Northeast
28,F,Mission
27,F,77th Street
58,F,Northeast
26,M,Van Nuys
61,F,Devonshire
51,M,Devonshire
27,M,77th Street
0,,Northeast
63,M,Southwest
24,F,Southeast
19,F,Foothill
0,,77th Street
0,X,West LA
24,M,Hollywood
0,,Devonshire
64,F,77th Street
23,M,West LA
58,M,Olympic
0,M,Southeast
0,,N Hollywood
24,F,Hollywood
0,,Hollywood
48,F,N Hollywood
0,,Hollywood
47,M,Wilshire
46,M,Northeast
41,F,Central
19,X,Southwest
29,F,West Valley
38,M,N Hollywood
30,F,Hollywood
18,F,Olympic
20,F,Southwest
44,F,Van Nuys
26,F,Newton
0,,Mission
0,X,Northeast
0,X,Van Nuys
21,F,Southwest
43,F,Rampart
20,M,Southwest
34,M,Central
70,F,West LA
37,M,Harbor
32,F,Van Nuys
0,X,Central
59,M,Southwest
57,M,Pacific
0,X,Rampart
30,F,N Hollywood
62,F,Devonshire
20,M,N Hollywood
31,M,Central
34,F,Van Nuys
65,F,Southwest
72,F,N Hollywood
19,X,Southwest
68,M,Olympic
42,M,Hollywood
33,M,Olympic
58,F,Southwest
47,M,Wilshire
31,M,Pacific
35,F,77th Street
44,M,Foothill
0,,Devonshire
18,F,Newton
0,M,Central
51,M,Pacific
36,M,Newton
28,F,Topanga
35,F,Southwest
14,F,77th Street
52,M,Van Nuys
0,,77th Street
46,M,West LA
0,,Central
0,M,Northeast
39,F,Devonshire
0,,Northeast
31,F,Topanga
22,F,Central
37,F,Van Nuys
19,X,Southwest
43,F,Wilshire
42,M,Wilshire
62,M,N Hollywood
66,M,Harbor
31,F,Southeast
30,M,77th Street
20,F,77th Street
64,M,Northeast
40,M,Olympic
33,M,Wilshire
24,M,Central
25,F,Newton
32,M,N Hollywood
28,F,Mission
24,F,Central
63,F,Harbor
0,X,Hollywood
42,F,Hollywood
38,F,77th Street
34,F,Rampart
0,M,Southeast
56,F,Newton
25,M,Pacific
56,M,Pacific
41,F,N Hollywood
0,,77th Street
0,M,77th Street
64,M,Southeast
52,M,N Hollywood
25,F,N Hollywood
26,F,Southwest
20,F,Devonshire
0,,Olympic
43,M,Harbor
34,M,Central
0,X,Hollywood
28,M,Central
47,M,West Valley
0,,West Valley
46,F,77th Street
0,,Northeast
59,M,West LA
70,F,Newton
0,,Pacific
19,M,Van Nuys
0,,Pacific
60,M,Harbor
16,M,Newton
39,M,West LA
55,F,Olympic
0,,Newton
0,M,Hollywood
28,F,Southeast
0,M,Wilshire
57,M,Wilshire
33,F,Wilshire
51,M,Northeast
70,M,Wilshire
0,,Southwest
51,M,Newton
0,X,Devonshire
61,M,Southwest
27,F,77th Street
25,F,Central
0,,Pacific
28,M,Olympic
0,X,Van Nuys
21,M,Newton
0,X,Olympic
57,F,Southeast
21,M,Rampart
0,,N Hollywood
15,F,77th Street
46,F,Wilshire
21,F,Wilshire
37,F,Topanga
0,,Hollywood
30,M,Foothill
57,F,Harbor
77,F,Rampart
57,M,Central
0,F,Newton
23,M,Van Nuys
0,X,Central
53,M,West Valley
61,M,77th Street
55,F,Southeast
0,X,Newton
60,F,Olympic
0,X,West LA
44,M,Hollywood
38,M,Pacific
33,M,Pacific
30,F,West LA
34,F,Hollywood
62,M,Southwest
0,,Southeast
0,X,Hollenbeck
72,F,Hollenbeck
49,F,Northeast
22,F,Hollywood
27,M,Newton
28,F,Central
0,,Mission
23,F,Hollenbeck
23,F,Newton
35,M,Newton
0,X,Northeast
0,,Northeast
0,,Olympic
31,F,Olympic
43,M,Mission
0,,Newton
20,F,Southeast
63,F,Southeast
49,M,Southeast
26,F,Rampart
34,M,Olympic
51,M,Rampart
51,M,Harbor
36,M,West LA
0,X,Pacific
24,M,Southwest
32,M,N Hollywood
27,M,Hollywood
33,M,Central
31,M,Central
0,,Devonshire
61,M,Topanga
0,X,Van Nuys
29,M,Harbor
0,,Olympic
27,F,Topanga
32,M,Southeast
42,M,Newton
31,F,Devonshire
55,M,Central
35,M,Newton
38,F,Wilshire
77,F,Rampart
58,M,Northeast
52,F,Hollywood
16,F,77th Street
38,M,Wilshire
30,M,Central
38,M,Southwest
0,M,West Valley
51,F,Wilshire
58,F,Van Nuys
67,M,77th Street
29,M,77th Street
0,,Harbor
40,M,Southeast
72,M,West LA
0,,Rampart
60,M,Olympic
68,M,Pacific
0,,Southeast
0,,West Valley
47,F,Hollywood
0,,Southwest
17,M,Harbor
56,M,Pacific
3,F,Hollenbeck
0,,Harbor
31,M,Harbor
18,F,Rampart
48,F,Topanga
21,M,Hollenbeck
28,M,Olympic
0,X,Hollywood
23,M,Central
21,F,Hollywood
28,F,Foothill
55,M,Central
0,,West Valley
0,,Newton
20,M,West Valley
0,M,Newton
34,F,Newton
0,M,N Hollywood
0,X,Southeast
0,,Topanga
19,X,Southwest
40,M,Southwest
46,F,Northeast
0,,Wilshire
51,M,Northeast
0,M,Harbor
52,F,Foothill
49,M,Hollenbeck
0,,Harbor
57,M,Wilshire
28,F,Northeast
50,M,N Hollywood
17,F,77th Street
0,,Harbor
36,F,N Hollywood
67,M,Southwest
16,F,Pacific
0,,West LA
0,,Van Nuys
29,F,Olympic
52,M,West LA
43,M,Pacific
35,F,Southwest
40,M,Foothill
0,X,Van Nuys
28,M,Southwest
25,F,West Valley
0,,Pacific
22,M,77th Street
0,X,West LA
19,F,West LA
0,,Newton
42,M,Hollywood
44,M,Mission
27,F,Southwest
23,F,Olympic
35,F,Southeast
44,M,Harbor
63,M,Devonshire
46,F,Olympic
57,M,Pacific
50,F,Olympic
27,M,Hollywood
56,M,Wilshire
52,F,Devonshire
0,,Hollenbeck
54,M,Pacific
22,M,West Valley
26,F,Rampart
61,M,Mission
0,,77th Street
0,X,West LA
0,,Topanga
51,M,Northeast
0,,Hollenbeck
36,F,Central
47,F,Van Nuys
47,M,Hollywood
65,F,West LA
42,F,N Hollywood
38,M,Northeast
0,,Hollywood
21,F,Mission
26,F,Hollenbeck
0,,Southeast
24,M,West LA
27,M,West LA
29,M,Hollywood
70,F,Devonshire
81,M,West LA
24,M,Mission
35,M,West Valley
24,M,Central
39,F,Southwest
43,F,Northeast
50,M,N Hollywood
0,,West Valley
39,M,Harbor
59,M,Wilshire
47,F,Olympic
0,X,Newton
6,M,77th Street
29,M,Topanga
28,F,Wilshire
58,M,Olympic
0,F,West Valley
37,F,Van Nuys
26,M,Van Nuys
0,M,Mission
57,M,Van Nuys
0,,Pacific
67,M,Northeast
31,M,Pacific
21,M,Hollenbeck
30,F,West LA
19,M,77th Street
0,,Rampart
2,M,77th Street
0,,Newton
26,F,Southeast
0,,West LA
60,F,Central
0,,Hollenbeck
13,F,Southwest
65,M,Rampart
35,F,Devonshire
36,M,Hollywood
82,F,Harbor
0,,Pacific
59,F,Van Nuys
0,X,Hollywood
0,,Central
39,F,77th Street
21,F,Hollywood
26,M,Devonshire
40,M,Van Nuys
31,M,Southeast
55,F,Southwest
21,F,Newton
50,M,N Hollywood
25,F,Hollywood
27,M,Foothill
41,M,N Hollywood
29,M,Rampart
40,F,Newton
21,M,Pacific
0,X,Harbor
0,,77th Street
43,F,77th Street
32,F,Newton
0,X,Olympic
0,,Southeast
0,,Mission
0,X,West LA
0,X,Devonshire
43,F,Rampart
0,X,West LA
54,F,West LA
46,M,Newton
26,F,Central
35,F,Southwest
0,M,Mission
42,F,Pacific
21,F,Central
19,M,Wilshire
40,F,West Valley
69,F,Olympic
30,F,Harbor
24,F,N Hollywood
0,X,Central
35,M,Topanga
38,M,Rampart
29,M,Hollywood
47,F,Olympic
15,F,Mission
28,M,Van Nuys
0,,Devonshire
25,M,West LA
0,,West Valley
50,M,Topanga
26,M,N Hollywood
0,X,Central
31,F,Northeast
0,,N Hollywood
32,M,West LA
22,M,Central
0,X,Central
36,M,Mission
48,M,Foothill
56,M,Northeast
39,M,Northeast
31,M,Newton
22,M,Central
25,M,Rampart
0,,Newton
0,,Rampart
39,M,Mission
34,M,N Hollywood
46,M,N Hollywood
57,M,Northeast
55,F,Van Nuys
55,F,West LA
0,X,Newton
37,F,Topanga
48,F,Central
37,F,Southeast
24,M,Southwest
40,F,Central
33,M,Newton
27,M,Southwest
40,F,Harbor
0,,Pacific
51,F,West LA
49,M,West Valley
31,M,West LA
34,F,Southeast
64,F,Foothill
23,F,Pacific
0,,Newton
31,F,N Hollywood
43,F,Newton
38,F,West LA
68,M,Central
38,M,Devonshire
47,F,Mission
0,,Wilshire
20,M,Harbor
0,,Pacific
25,M,Central
37,M,Pacific
42,F,Central
54,F,Hollywood
35,F,West Valley
36,F,Van Nuys
0,,Pacific
64,M,Newton
0,X,Devonshire
36,M,West Valley
0,,Newton
0,,N Hollywood
55,M,Topanga
0,,Newton
67,M,77th Street
0,,Rampart
29,F,Topanga
55,M,77th Street
0,X,Southeast
74,F,N Hollywood
20,F,Foothill
30,M,Rampart
33,F,West Valley
0,M,Hollenbeck
55,M,Newton
35,M,Hollywood
33,M,Newton
37,F,Hollenbeck
0,X,Pacific
41,F,Van Nuys
0,X,Olympic
0,,Newton
0,X,Pacific
0,X,Southeast
0,X,West LA
0,M,West Valley
0,M,Olympic
0,X,Hollenbeck
59,F,Harbor
35,M,Southwest
78,F,Van Nuys
32,F,West LA
29,F,Central
31,F,Southwest
0,,Central
43,M,77th Street
32,F,Foothill
39,F,Harbor
46,M,Rampart
0,X,Hollywood
42,F,Topanga
67,F,Southwest
76,F,Mission
0,,Van Nuys
0,X,Devonshire
38,F,Mission
56,F,Central
35,F,Van Nuys
0,X,Hollywood
20,F,Newton
0,,Southeast
26,M,Hollywood
34,F,77th Street
0,,Northeast
44,M,Central
70,M,77th Street
37,F,Rampart
35,M,Wilshire
10,X,Southwest
61,X,Northeast
31,M,Southwest
0,,Rampart
38,F,Pacific
0,,Olympic
0,M,Wilshire
0,X,77th Street
63,F,Topanga
22,X,Mission
0,M,Southeast
65,M,West LA
0,,Hollywood
63,M,Harbor
0,,Olympic
25,M,Central
65,M,Hollywood
0,M,Hollenbeck
58,M,Harbor
14,M,Southeast
41,F,Rampart
0,,Northeast
74,F,Devonshire
30,M,Newton
32,F,Harbor
51,F,Harbor
47,M,Rampart
34,F,Wilshire
49,M,N Hollywood
59,F,Southwest
0,,Harbor
55,F,Harbor
20,F,Van Nuys
22,F,N Hollywood
39,M,Newton
25,M,N Hollywood
45,M,Northeast
41,M,Newton
0,X,Southeast
44,M,Pacific
72,F,Harbor
24,M,Pacific
0,,Southeast
44,F,Hollywood
0,,Foothill
0,X,Devonshire
0,,N Hollywood
39,M,Southeast
0,M,Central
34,M,Hollywood
46,F,Wilshire
0,X,Southwest
7,F,Southeast
0,X,Mission
78,F,Devonshire
0,M,Central
23,F,Olympic
0,,West LA
30,F,77th Street
0,,West LA
71,F,Hollywood
0,X,West LA
31,F,Central
42,M,West Valley
0,,Hollenbeck
0,X,Pacific
26,M,N Hollywood
0,X,77th Street
3,M,77th Street
72,F,Pacific
0,,77th Street
17,M,Devonshire
50,M,Hollywood
44,M,Southwest
70,M,West Valley
0,X,Central
55,F,Northeast
0,X,Devonshire
0,,Pacific
0,X,Southeast
41,F,West LA
35,M,Hollywood
17,F,Rampart
37,M,Topanga
46,M,Rampart
51,M,77th Street
45,M,77th Street
0,,Olympic
44,F,77th Street
30,M,Topanga
26,M,Devonshire
66,F,Harbor
0,,Van Nuys
63,M,Topanga
0,X,Hollywood
34,M,Van Nuys
45,F,N Hollywood
0,,Northeast
31,M,West Valley
41,F,Mission
35,F,Topanga
51,F,77th Street
56,M,West LA
36,F,Harbor
23,F,Southeast
39,M,Mission
22,M,West Valley
67,M,West LA
0,M,West Valley
26,M,Van Nuys
33,M,N Hollywood
21,M,Rampart
34,M,N Hollywood
43,F,Hollenbeck
0,X,Devonshire
29,M,77th Street
41,F,Mission
30,M,N Hollywood
40,M,Hollywood
34,M,Central
36,F,Wilshire
25,F,Hollywood
40,F,77th Street
16,F,Rampart
30,F,Hollenbeck
29,F,N Hollywood
39,F,Foothill
22,F,West LA
37,M,Southeast
25,M,N Hollywood
66,F,Pacific
27,F,Southwest
19,X,Rampart
33,F,Southwest
43,M,West Valley
36,M,Van Nuys
0,X,Central
20,F,Central
38,M,Hollywood
62,F,Newton
42,M,West Valley
24,M,Newton
0,M,Hollenbeck
0,,Northeast
2,M,Foothill
44,F,Central
64,M,Topanga
32,F,Wilshire
53,F,Topanga
28,F,Harbor
0,,N Hollywood
0,X,Hollywood
32,M,Foothill
42,F,West LA
23,F,West LA
41,M,West LA
58,M,Wilshire
43,F,Pacific
46,M,Mission
0,,Van Nuys
0,,Southwest
48,F,Southwest
39,M,Northeast
39,M,Northeast
0,,Newton
29,F,Harbor
25,M,Pacific
0,,Central
71,F,Southeast
65,M,Rampart
47,M,Northeast
87,M,Pacific
0,M,West Valley
0,X,Hollywood
42,M,Mission
60,M,Pacific
0,,Van Nuys
50,M,N Hollywood
0,,Rampart
29,M,Van Nuys
0,X,Harbor
0,M,Mission
35,M,Central
23,M,Harbor
0,X,Newton
0,M,Central
46,M,N Hollywood
0,X,Olympic
0,X,Harbor
0,,Southwest
68,F,West LA
0,,Mission
42,F,77th Street
38,M,Southwest
0,,Topanga
41,M,Foothill
36,M,Pacific
0,M,Central
27,M,Newton
0,,Southeast
29,F,Topanga
0,,N Hollywood
0,M,West Valley
19,F,Olympic
0,X,West LA
0,,Van Nuys
49,M,Southeast
53,F,Pacific
0,X,West LA
42,F,Devonshire
26,F,Central
37,F,Topanga
40,F,77th Street
56,M,Pacific
0,,Northeast
0,,Van Nuys
34,M,Devonshire
14,F,West LA
56,M,Harbor
39,F,N Hollywood
0,,Southwest
6,F,Devonshire
51,M,N Hollywood
49,M,Mission
54,M,Topanga
33,F,Van Nuys
56,M,Central
33,M,N Hollywood
43,F,77th Street
0,,Mission
62,M,Northeast
70,F,West LA
40,F,Mission
13,M,77th Street
19,M,Wilshire
32,F,Topanga
53,M,West LA
49,M,Foothill
43,F,77th Street
0,X,Southeast
0,,Southeast
34,F,Southeast
65,M,Devonshire
0,,Newton
60,M,Wilshire
39,M,Harbor
38,M,Northeast
64,F,Southeast
37,M,Van Nuys
30,F,Devonshire
20,F,Topanga
52,M,Hollenbeck
0,,Olympic
26,M,Van Nuys
0,X,West LA
0,F,Wilshire
36,M,Harbor
19,F,West LA
14,M,West Valley
24,M,Central
58,F,N Hollywood
34,M,West LA
40,M,77th Street
40,M,Wilshire
58,M,West LA
40,M,Newton
30,F,Hollywood
40,F,Hollywood
28,F,Hollenbeck
23,M,Devonshire
0,M,Rampart
0,X,Pacific
35,F,Van Nuys
75,F,N Hollywood
40,M,Northeast
46,F,Van Nuys
30,F,Northeast
46,M,Wilshire
20,M,Southwest
13,F,Topanga
0,X,Central
35,M,N Hollywood
31,M,Pacific
22,F,Wilshire
32,F,Wilshire
48,F,Newton
0,,Newton
31,M,Rampart
38,F,Olympic
14,M,Devonshire
41,F,Foothill
31,M,Southwest
26,F,Olympic
79,M,Southeast
20,F,Newton
51,M,Pacific
58,F,77th Street
0,,N Hollywood
26,F,77th Street
0,M,Foothill
30,F,77th Street
32,F,Mission
58,M,Central
0,M,Southeast
0,X,Olympic
54,F,Central
67,F,Southwest
45,F,77th Street
66,F,Foothill
0,,Southeast
0,,Southeast
48,M,Central
74,M,Mission
0,,N Hollywood
36,F,Northeast
57,F,N Hollywood
36,F,Mission
0,,Devonshire
46,M,West LA
0,X,Newton
0,M,Newton
55,M,Van Nuys
0,M,N Hollywood
20,M,Topanga
0,,77th Street
37,M,Wilshire
0,X,Harbor
31,M,Wilshire
0,,Olympic
39,F,Pacific
17,M,Hollywood
0,,West Valley
35,F,Wilshire
29,M,Wilshire
25,F,Olympic
69,M,Topanga
31,F,77th Street
43,M,Newton
50,M,Newton
60,F,Mission
37,M,Van Nuys
52,M,Van Nuys
38,F,West LA
49,F,Wilshire
59,M,Olympic
20,F,Southeast
0,M,Newton
22,F,Southwest
19,F,Rampart
40,M,Topanga
63,M,Hollenbeck
0,M,Wilshire
72,M,Mission
64,M,Harbor
57,F,West Valley
28,M,N Hollywood
29,F,Rampart
0,,N Hollywood
30,F,N Hollywood
19,X,Southwest
61,F,Central
21,F,Topanga
68,M,Central
39,F,Hollenbeck
25,F,West Valley
51,F,Hollywood
34,F,Van Nuys
47,M,Mission
53,M,Hollywood
0,X,Newton
41,M,Foothill
0,M,West Valley
35,M,Southeast
67,M,Central
27,F,Rampart
26,M,N Hollywood
26,F,Southeast
40,F,West LA
44,M,Van Nuys
58,F,Foothill
19,F,Harbor
35,M,West LA
21,F,Central
34,M,West Valley
40,F,Olympic
27,F,Hollywood
27,F,Southwest
26,M,Newton
39,F,Foothill
33,F,Van Nuys
71,F,77th Street
0,M,Central
24,M,Southeast
74,F,Southwest
20,F,Hollywood
31,F,Central
30,M,Central
58,F,Devonshire
37,F,Rampart
46,M,N Hollywood
0,,Rampart
0,,Southeast
0,X,Northeast
19,F,Harbor
28,M,West Valley
45,F,Newton
41,M,N Hollywood
17,F,Hollenbeck
32,F,Olympic
2,M,Foothill
20,M,Hollenbeck
58,M,Van Nuys
38,M,West LA
61,F,Harbor
35,F,Southeast
0,X,Pacific
40,M,West Valley
42,F,Newton
44,M,Central
47,F,Newton
29,F,Devonshire
41,M,Southwest
36,F,Harbor
25,M,Pacific
0,,77th Street
38,M,Olympic
32,M,Southwest
0,,Devonshire
32,M,Wilshire
0,,Southeast
0,M,West Valley
0,,Mission
52,M,Rampart
33,M,Pacific
48,M,Pacific
61,M,Wilshire
44,M,Foothill
36,F,Rampart
38,M,Mission
54,M,77th Street
31,F,77th Street
55,F,Rampart
66,M,Topanga
0,,Rampart
0,X,Central
52,F,Olympic
68,F,Van Nuys
29,F,Northeast
29,F,West Valley
46,M,Newton
50,M,Topanga
0,,Southwest
57,M,West Valley
45,F,Olympic
0,X,77th Street
0,,Newton
35,F,Central
0,X,Pacific
19,X,Southwest
52,F,Van Nuys
66,M,West Valley
0,,Newton
15,M,Mission
26,F,Wilshire
26,M,Southwest
0,,Olympic
18,M,Harbor
50,M,Harbor
26,F,Wilshire
26,M,Hollywood
64,F,Southwest
51,M,Topanga
20,F,Southwest
0,,Devonshire
27,F,Hollenbeck
28,F,Pacific
69,F,Devonshire
58,M,Southwest
0,,Van Nuys
16,M,Newton
65,M,N Hollywood
35,F,Olympic
0,M,N Hollywood
25,M,77th Street
45,F,77th Street
30,F,Newton
54,M,West LA
46,F,Harbor
0,X,Pacific
49,M,Rampart
25,M,Northeast
29,M,West LA
50,M,Harbor
36,F,Southwest
52,M,Central
41,M,77th Street
54,M,Wilshire
19,X,Southwest
21,M,Southeast
0,M,Hollenbeck
43,F,Southwest
65,M,West LA
26,M,Wilshire
0,M,Foothill
0,,Devonshire
30,M,Rampart
29,F,Central
36,F,Northeast
50,M,Southwest
70,M,Pacific
62,M,77th Street
51,M,77th Street
56,M,West LA
0,,Northeast
68,M,Southeast
38,M,West LA
39,M,Foothill
60,M,Central
43,M,Foothill
33,F,West Valley
13,F,Rampart
17,F,Central
22,F,Pacific
20,M,Newton
14,M,Harbor
22,F,Newton
79,F,Wilshire
29,F,Newton
0,,Foothill
51,F,Southeast
0,X,Olympic
41,F,West Valley
41,F,N Hollywood
30,M,Harbor
56,F,Van Nuys
22,M,Rampart
34,F,Foothill
56,M,Olympic
0,M,Harbor
0,X,Devonshire
0,,Olympic
0,,Southwest
23,M,77th Street
79,F,Foothill
45,F,Devonshire
14,F,Rampart
44,M,Southwest
29,F,Harbor
65,F,Foothill
53,F,77th Street
33,M,Southwest
60,F,Rampart
26,F,Rampart
34,F,Mission
35,F,77th Street
21,F,Mission
26,M,Hollywood
33,M,N Hollywood
34,M,77th Street
66,F,Devonshire
0,X,Northeast
0,X,Newton
