INCIDENT_AREA,VICTIM_AGE,CRIME,EXACT_LOCATION
Hollenbeck,47,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",SINGLE FAMILY DWELLING
Topanga,67,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
77th Street,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",SINGLE FAMILY DWELLING
Pacific,34,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",CONSTRUCTION SITE
Central,53,BURGLARY FROM VEHICLE,STREET
Foothill,0,ATTEMPTED ROBBERY,MARKET
Devonshire,27,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",PARKING LOT
Van Nuys,52,OTHER MISCELLANEOUS CRIME,HOSPITAL
Van Nuys,0,VEHICLE - STOLEN,STREET
Southeast,52,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Van Nuys,27,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,37,ROBBERY,TRANSIENT ENCAMPMENT
Newton,29,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"VEHICLE, PASSENGER/TRUCK"
Van Nuys,26,BURGLARY FROM VEHICLE,STREET
Harbor,38,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,37,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Southeast,30,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Olympic,0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),OTHER BUSINESS
Wilshire,47,BURGLARY,SINGLE FAMILY DWELLING
Southwest,29,"BURGLARY, ATTEMPTED","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,39,"BUNCO, GRAND THEFT",SINGLE FAMILY DWELLING
West Valley,0,BURGLARY,AUTO REPAIR SHOP
Topanga,31,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,23,BATTERY - SIMPLE ASSAULT,OTHER BUSINESS
Pacific,42,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Hollenbeck,0,BURGLARY,LIBRARY
Foothill,59,BURGLARY,OTHER BUSINESS
Newton,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Central,31,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING UNDERGROUND/BUILDING
Van Nuys,0,VEHICLE - STOLEN,STREET
N Hollywood,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER BUSINESS
N Hollywood,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),GARAGE/CARPORT
Van Nuys,27,THEFT PLAIN - PETTY ($950 & UNDER),"PORCH, RESIDENTIAL"
West LA,62,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",OTHER BUSINESS
Van Nuys,33,BRANDISH WEAPON,STREET
Northeast,60,BURGLARY,SINGLE FAMILY DWELLING
Northeast,0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",PARKING LOT
Mission,58,ROBBERY,BUS STOP
Newton,13,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
N Hollywood,27,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",SINGLE FAMILY DWELLING
Harbor,0,ROBBERY,
Topanga,35,BURGLARY,OTHER BUSINESS
Van Nuys,0,VEHICLE - STOLEN,PARKING UNDERGROUND/BUILDING
Southwest,34,BRANDISH WEAPON,STREET
Hollenbeck,31,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West LA,0,TRESPASSING,GARAGE/CARPORT
Southwest,64,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
Southwest,26,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SIDEWALK
Mission,45,TRESPASSING,SINGLE FAMILY DWELLING
Central,34,INTIMATE PARTNER - AGGRAVATED ASSAULT,STREET
77th Street,56,INTIMATE PARTNER - AGGRAVATED ASSAULT,SINGLE FAMILY DWELLING
Northeast,58,ATTEMPTED ROBBERY,MTA - RED LINE - VERMONT/SUNSET
West Valley,0,VEHICLE - STOLEN,GARAGE/CARPORT
Wilshire,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
West LA,41,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollenbeck,50,BURGLARY FROM VEHICLE,STREET
Topanga,26,SHOPLIFTING - PETTY THEFT ($950 & UNDER),DEPARTMENT STORE
Olympic,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER BUSINESS
Newton,69,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,35,BATTERY - SIMPLE ASSAULT,STREET
Van Nuys,51,BATTERY - SIMPLE ASSAULT,STREET
West LA,25,BURGLARY FROM VEHICLE,STREET
Van Nuys,45,THEFT PLAIN - PETTY ($950 & UNDER),"PORCH, RESIDENTIAL"
Central,0,OTHER MISCELLANEOUS CRIME,STREET
Topanga,41,THEFT OF IDENTITY,STREET
Hollenbeck,40,THEFT OF IDENTITY,HOSPITAL
Harbor,23,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",PARKING LOT
Mission,19,BURGLARY FROM VEHICLE,STREET
77th Street,0,VEHICLE - STOLEN,STREET
Olympic,70,BATTERY - SIMPLE ASSAULT,PARKING LOT
Southwest,40,CRIMINAL THREATS - NO WEAPON DISPLAYED,SINGLE FAMILY DWELLING
West Valley,27,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",GAS STATION
N Hollywood,0,BURGLARY,BEAUTY/BARBER SHOP
Pacific,0,VEHICLE - STOLEN,STREET
Hollenbeck,0,TRESPASSING,HOSPITAL
Devonshire,0,VEHICLE - STOLEN,STREET
Hollywood,28,BRANDISH WEAPON,OTHER BUSINESS
Southeast,50,CONTEMPT OF COURT,SINGLE FAMILY DWELLING
N Hollywood,0,OTHER MISCELLANEOUS CRIME,STREET
Harbor,28,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
Van Nuys,58,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,0,VEHICLE - STOLEN,STREET
Foothill,33,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Rampart,62,THEFT PLAIN - PETTY ($950 & UNDER),STREET
77th Street,15,ROBBERY,STREET
Wilshire,0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),THE BEVERLY CENTER
Central,23,THEFT OF IDENTITY,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
Hollywood,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",MOTEL
Newton,18,"BUNCO, PETTY THEFT",SINGLE FAMILY DWELLING
Van Nuys,40,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Harbor,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OFFICE BUILDING/OFFICE
West LA,0,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),OTHER BUSINESS
West LA,0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",OTHER BUSINESS
Central,48,BATTERY - SIMPLE ASSAULT,OTHER PREMISE
Harbor,0,VEHICLE - STOLEN,STREET
Pacific,41,THEFT PLAIN - PETTY ($950 & UNDER),HOSPITAL
Devonshire,19,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",PARKING LOT
Pacific,0,VEHICLE - STOLEN,STREET
Northeast,59,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Newton,41,BATTERY - SIMPLE ASSAULT,SIDEWALK
Southwest,12,"RAPE, FORCIBLE",AUTO REPAIR SHOP
West Valley,0,OTHER MISCELLANEOUS CRIME,BANK
77th Street,25,BURGLARY FROM VEHICLE,OTHER BUSINESS
Southeast,45,"THEFT, PERSON",STREET
Mission,31,BURGLARY FROM VEHICLE,STREET
Central,29,ROBBERY,PARKING LOT
Wilshire,48,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",SINGLE FAMILY DWELLING
Central,38,TRESPASSING,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,27,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Hollenbeck,42,ROBBERY,STREET
Newton,29,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"VEHICLE, PASSENGER/TRUCK"
Southeast,38,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Northeast,12,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Olympic,26,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Olympic,31,BIKE - STOLEN,MARKET
West Valley,33,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,30,BURGLARY,PARKING UNDERGROUND/BUILDING
Southeast,0,VEHICLE - STOLEN,STREET
West LA,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),DRIVEWAY
Devonshire,50,BURGLARY,SINGLE FAMILY DWELLING
Hollenbeck,0,VEHICLE - STOLEN,GARAGE/CARPORT
Van Nuys,0,VEHICLE - STOLEN,PARKING LOT
Southeast,0,BURGLARY,OTHER BUSINESS
N Hollywood,34,PEEPING TOM,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,47,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,36,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",ALLEY
Hollenbeck,0,VEHICLE - STOLEN,STREET
Newton,0,VEHICLE - STOLEN,STREET
Northeast,0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),ELEMENTARY SCHOOL
Southeast,0,VEHICLE - STOLEN,STREET
Southwest,23,FALSE IMPRISONMENT,PARKING UNDERGROUND/BUILDING
N Hollywood,0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),MARKET
Hollywood,23,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET
N Hollywood,56,BURGLARY FROM VEHICLE,DRIVEWAY
Harbor,28,"BUNCO, GRAND THEFT",SINGLE FAMILY DWELLING
N Hollywood,27,INTIMATE PARTNER - SIMPLE ASSAULT,STREET
Olympic,35,ROBBERY,SIDEWALK
Hollywood,0,BRANDISH WEAPON,SINGLE FAMILY DWELLING
West Valley,0,BURGLARY,ALLEY
Rampart,24,"THEFT, PERSON",PARKING LOT
Hollywood,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",RESTAURANT/FAST FOOD
77th Street,0,VEHICLE - STOLEN,STREET
Van Nuys,54,BATTERY - SIMPLE ASSAULT,NURSING/CONVALESCENT/RETIREMENT HOME
Mission,55,DISCHARGE FIREARMS/SHOTS FIRED,STREET
Rampart,68,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West LA,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER BUSINESS
Olympic,53,BRANDISH WEAPON,AUTOMATED TELLER MACHINE (ATM)
Hollywood,29,THEFT PLAIN - PETTY ($950 & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,22,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",PARKING LOT
Northeast,0,VEHICLE - STOLEN,STREET
Wilshire,44,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Southwest,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Hollenbeck,48,BRANDISH WEAPON,SINGLE FAMILY DWELLING
Olympic,62,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",PARKING LOT
Mission,0,VEHICLE - STOLEN,STREET
Hollywood,49,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",DRUG STORE
Central,43,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Topanga,67,"BUNCO, GRAND THEFT",DEPARTMENT STORE
Wilshire,35,BURGLARY FROM VEHICLE,OTHER RESIDENCE
Hollenbeck,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER BUSINESS
77th Street,15,"RAPE, ATTEMPTED",PARKING LOT
Hollywood,0,VEHICLE - STOLEN,STREET
Olympic,18,THEFT PLAIN - PETTY ($950 & UNDER),HIGH SCHOOL
Rampart,19,ROBBERY,STREET
West LA,31,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,30,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING UNDERGROUND/BUILDING
Olympic,34,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",MTA - RED LINE - WILSHIRE/VERMONT
Van Nuys,57,OTHER ASSAULT,PARKING LOT
Southwest,26,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Van Nuys,37,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Mission,0,VEHICLE - STOLEN,STREET
Southeast,43,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",ALLEY
Mission,31,INTIMATE PARTNER - SIMPLE ASSAULT,STREET
Hollywood,77,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",STREET
Newton,24,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Central,63,BURGLARY FROM VEHICLE,SIDEWALK
Mission,53,VIOLATION OF RESTRAINING ORDER,SINGLE FAMILY DWELLING
Northeast,0,BURGLARY,RESTAURANT/FAST FOOD
Van Nuys,31,BURGLARY FROM VEHICLE,ALLEY
Foothill,0,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Rampart,22,ROBBERY,PARKING LOT
West Valley,25,BIKE - STOLEN,PARKING LOT
Rampart,33,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Mission,27,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","PORCH, RESIDENTIAL"
77th Street,2,CHILD NEGLECT (SEE 300 W.I.C.),STREET
Central,32,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SIDEWALK
Rampart,0,VEHICLE - STOLEN,STREET
West LA,0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),MARKET
Foothill,28,INTIMATE PARTNER - AGGRAVATED ASSAULT,SINGLE FAMILY DWELLING
Southwest,38,INTIMATE PARTNER - AGGRAVATED ASSAULT,SINGLE FAMILY DWELLING
Mission,30,BATTERY - SIMPLE ASSAULT,STREET
Hollywood,31,VEHICLE - ATTEMPT STOLEN,STREET
Newton,0,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,STREET
Foothill,64,BURGLARY,SINGLE FAMILY DWELLING
Devonshire,38,"THEFT, PERSON",STREET
Hollywood,32,THEFT PLAIN - PETTY ($950 & UNDER),PARKING LOT
West Valley,78,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),DRIVEWAY
Mission,0,VEHICLE - STOLEN,STREET
Central,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
77th Street,0,OTHER MISCELLANEOUS CRIME,STREET
Wilshire,33,TRESPASSING,HOSPITAL
N Hollywood,37,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
N Hollywood,36,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Southeast,42,BURGLARY FROM VEHICLE,PARKING UNDERGROUND/BUILDING
West Valley,33,TRESPASSING,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,77,THEFT OF IDENTITY,DEPARTMENT STORE
Central,34,BATTERY WITH SEXUAL CONTACT,HOTEL
Pacific,0,VEHICLE - STOLEN,DRIVEWAY
Wilshire,26,BURGLARY FROM VEHICLE,STREET
Pacific,32,BURGLARY FROM VEHICLE,OTHER RESIDENCE
N Hollywood,41,THEFT PLAIN - PETTY ($950 & UNDER),AUTO REPAIR SHOP
Foothill,27,SHOPLIFTING - PETTY THEFT ($950 & UNDER),OTHER STORE
Devonshire,35,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Foothill,45,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
N Hollywood,0,BURGLARY,RESTAURANT/FAST FOOD
Central,0,BURGLARY,JEWELRY STORE
Topanga,0,VEHICLE - STOLEN,PARKING LOT
Newton,24,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SINGLE FAMILY DWELLING
Devonshire,60,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Van Nuys,27,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,29,BRANDISH WEAPON,GAS STATION
West LA,51,BURGLARY,SINGLE FAMILY DWELLING
Pacific,50,BURGLARY,SINGLE FAMILY DWELLING
Southwest,39,BURGLARY FROM VEHICLE,SINGLE FAMILY DWELLING
Central,56,THEFT PLAIN - PETTY ($950 & UNDER),SIDEWALK
Southwest,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",ELEMENTARY SCHOOL
Hollywood,36,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",PUBLIC STORAGE
Van Nuys,0,VEHICLE - STOLEN,PARKING UNDERGROUND/BUILDING
Northeast,0,VEHICLE - STOLEN,STREET
Northeast,37,THEFT PLAIN - PETTY ($950 & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollywood,27,THEFT PLAIN - PETTY ($950 & UNDER),HEALTH SPA/GYM
Northeast,0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),YARD (RESIDENTIAL/BUSINESS)
West LA,43,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",CONSTRUCTION SITE
Wilshire,59,BATTERY - SIMPLE ASSAULT,HOSPITAL
Newton,69,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
77th Street,0,VEHICLE - STOLEN,STREET
Newton,27,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
N Hollywood,53,THEFT PLAIN - PETTY ($950 & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,0,VEHICLE - STOLEN,STREET
Olympic,28,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southeast,56,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),MARKET
Southwest,69,THEFT PLAIN - PETTY ($950 & UNDER),CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)
Southeast,73,"BUNCO, PETTY THEFT",SINGLE FAMILY DWELLING
Northeast,54,INTIMATE PARTNER - SIMPLE ASSAULT,HOTEL
Hollywood,36,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",STUDIO (FILM/PHOTOGRAPHIC/MUSIC)
Hollywood,0,VEHICLE - STOLEN,STREET
Devonshire,24,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),DRIVEWAY
Mission,33,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Harbor,0,VEHICLE - STOLEN,STREET
Pacific,68,BURGLARY FROM VEHICLE,SINGLE FAMILY DWELLING
Pacific,53,THEFT OF IDENTITY,OTHER PREMISE
Southeast,22,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,0,VEHICLE - STOLEN,STREET
Van Nuys,40,THEFT OF IDENTITY,AUTOMATED TELLER MACHINE (ATM)
Van Nuys,32,BURGLARY FROM VEHICLE,PARKING LOT
Central,54,OTHER ASSAULT,STREET
Mission,73,TRESPASSING,YARD (RESIDENTIAL/BUSINESS)
Central,45,THEFT PLAIN - PETTY ($950 & UNDER),DEPARTMENT STORE
Southwest,63,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",BANK
N Hollywood,37,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
Southwest,0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),DEPARTMENT STORE
Van Nuys,43,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West LA,27,BATTERY - SIMPLE ASSAULT,GROUP HOME
Central,0,VEHICLE - STOLEN,STREET
Northeast,39,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
Hollenbeck,0,"BURGLARY, ATTEMPTED",HIGH SCHOOL
Olympic,49,BURGLARY FROM VEHICLE,STREET
Topanga,28,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Central,35,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Central,31,BURGLARY FROM VEHICLE,STREET
Southwest,19,ROBBERY,MARKET
Central,58,BURGLARY FROM VEHICLE,STREET
Devonshire,45,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Hollywood,28,BRANDISH WEAPON,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,44,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET
Central,0,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,STREET
Foothill,37,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Northeast,37,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Rampart,31,"BUNCO, GRAND THEFT","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollywood,0,VEHICLE - STOLEN,STREET
Central,22,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,72,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
N Hollywood,24,BATTERY - SIMPLE ASSAULT,MTA BUS
Northeast,29,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West LA,35,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Foothill,38,BRANDISH WEAPON,STREET
Central,31,BATTERY - SIMPLE ASSAULT,SIDEWALK
Topanga,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Mission,26,BATTERY - SIMPLE ASSAULT,DEPARTMENT STORE
Wilshire,35,BURGLARY FROM VEHICLE,DRIVEWAY
Southwest,26,INTIMATE PARTNER - SIMPLE ASSAULT,STREET
West LA,29,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,0,VEHICLE - STOLEN,PARKING LOT
Wilshire,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Hollenbeck,0,VEHICLE - STOLEN,STREET
Newton,28,ROBBERY,STREET
Topanga,39,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollenbeck,37,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Hollywood,42,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",PARKING UNDERGROUND/BUILDING
77th Street,0,VEHICLE - STOLEN,STREET
West Valley,61,KIDNAPPING - GRAND ATTEMPT,STREET
Topanga,27,ROBBERY,STREET
West Valley,0,VEHICLE - STOLEN,STREET
Foothill,0,VEHICLE - STOLEN,STREET
Van Nuys,21,BURGLARY FROM VEHICLE,GARAGE/CARPORT
Central,27,OTHER MISCELLANEOUS CRIME,PARKING LOT
Southwest,58,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",SINGLE FAMILY DWELLING
Central,19,BURGLARY,HIGH SCHOOL
Central,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Southwest,33,BATTERY - SIMPLE ASSAULT,PARKING UNDERGROUND/BUILDING
Central,48,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"VEHICLE, PASSENGER/TRUCK"
Wilshire,29,EXTORTION,SINGLE FAMILY DWELLING
Mission,35,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
Central,28,BURGLARY FROM VEHICLE,STREET
Harbor,0,BURGLARY,RESTAURANT/FAST FOOD
N Hollywood,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER BUSINESS
West Valley,0,CRUELTY TO ANIMALS,SPECIALTY SCHOOL/OTHER
Rampart,32,BURGLARY FROM VEHICLE,PARKING UNDERGROUND/BUILDING
Topanga,38,OTHER MISCELLANEOUS CRIME,SINGLE FAMILY DWELLING
Pacific,24,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",GARAGE/CARPORT
Hollywood,0,VEHICLE - STOLEN,STREET
Mission,58,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)"
Hollenbeck,0,THEFT PLAIN - PETTY ($950 & UNDER),RESTAURANT/FAST FOOD
Wilshire,35,BURGLARY,OTHER BUSINESS
Foothill,28,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
Pacific,0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),ELEMENTARY SCHOOL
Van Nuys,54,TRESPASSING,DEPARTMENT STORE
Hollywood,50,THEFT PLAIN - PETTY ($950 & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Wilshire,0,VEHICLE - STOLEN,PARKING LOT
77th Street,45,BURGLARY FROM VEHICLE,STREET
